time_s,rms,onset_strength,spectral_centroid,spectral_bandwidth,spectral_contrast,pitch_midi,pitch_confidence,beat_phase,rhythm_density,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_delta_1,mfcc_delta_2,mfcc_delta_3,mfcc_delta_4,mfcc_delta_5,mfcc_delta_6,mfcc_delta_7,mfcc_delta_8,mfcc_delta_9,mfcc_delta_10,mfcc_delta_11,mfcc_delta_12,mfcc_delta_13,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11
0.000000,0.00012070,0.00000000,3698.39832767,4383.30294193,9.88630508,93.32241446,0.00012196,0.00000000,0.00000000,-540.46851114,0.90153803,0.17298514,0.21478845,0.94128272,1.30486264,0.81878363,0.20795671,0.31086035,0.90798071,1.13193240,0.72947323,0.31997760,-0.07301885,-0.06232394,-0.00020939,-0.00795273,-0.07174448,-0.09664925,-0.04912902,-0.00220784,-0.02191358,-0.07262346,-0.07869903,-0.03772509,-0.01410234,0.88847610,1.00000000,0.78476778,0.66152318,0.72450362,0.69407601,0.74005758,0.78062958,0.71209153,0.79361200,0.70834240,0.73659346
0.010667,0.00012134,0.00000000,3883.54075674,4525.08418005,12.17246134,93.34307510,0.00009907,0.00000000,0.00000000,-541.26343917,0.04442803,-0.22645902,-0.12733010,0.17984605,0.19316810,-0.10913111,-0.23311879,0.02379104,0.24182821,0.06473738,-0.21812917,-0.14459006,-0.07301885,-0.06232394,-0.00020939,-0.00795273,-0.07174448,-0.09664925,-0.04912902,-0.00220784,-0.02191358,-0.07262346,-0.07869903,-0.03772509,-0.01410234,0.95622437,0.96151933,1.00000000,0.74529468,0.78903983,0.78754092,0.91959198,0.89343779,0.73890921,0.80698981,0.73972524,0.71219805
0.021333,0.00012139,0.00000000,5401.04355416,5608.41245905,13.49806377,89.07714700,0.00003506,0.00000000,0.00000000,-541.43507041,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.07301885,-0.06232394,-0.00020939,-0.00795273,-0.07174448,-0.09664925,-0.04912902,-0.00220784,-0.02191358,-0.07262346,-0.07869903,-0.03772509,-0.01410234,0.90677528,0.93088596,1.00000000,0.77355445,0.87604521,0.86896359,0.83074854,0.72354715,0.58357953,0.65704218,0.66819167,0.65922953
0.032000,0.00003298,0.01228401,7219.16934955,6552.08763819,15.00055122,89.12273532,0.00001475,0.00000000,0.00000000,-541.43507041,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.07301885,-0.06232394,-0.00020939,-0.00795273,-0.07174448,-0.09664925,-0.04912902,-0.00220784,-0.02191358,-0.07262346,-0.07869903,-0.03772509,-0.01410234,0.99400509,1.00000000,0.91053984,0.80250958,0.94819338,0.83449083,0.69037742,0.58412873,0.56422440,0.66860206,0.69586869,0.60434810
0.042667,0.00001304,0.00000000,8917.16768429,6796.15992742,13.62427835,88.74093516,0.00000264,0.00000000,0.00000000,-541.43507041,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.07301885,-0.06232394,-0.00020939,-0.00795273,-0.07174448,-0.09664925,-0.04912902,-0.00220784,-0.02191358,-0.07262346,-0.07869903,-0.03772509,-0.01410234,0.91631912,1.00000000,0.82165028,0.72891785,0.87122549,0.74520271,0.62094278,0.49550860,0.56600845,0.63090806,0.68464400,0.50369443
0.053333,0.00000375,0.00000000,9444.10133998,6874.52626151,12.62426324,88.58511247,0.00000080,0.00000000,0.00000000,-541.43507041,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.01144208,-0.00296187,0.01509727,0.00848867,-0.01198974,-0.01287787,0.00727541,0.01554125,-0.00158607,-0.01612188,-0.00431583,0.01454194,0.00963934,0.83207272,1.00000000,0.66857485,0.55724996,0.70497680,0.57447062,0.48328829,0.35812249,0.45813605,0.51201761,0.58096670,0.42657709
0.064000,0.00000151,0.00000000,9364.56428027,6538.56152359,9.37116682,81.48843226,0.00000004,0.00000000,0.00000000,-541.43507041,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.76124872,1.00000000,0.58496992,0.41966415,0.57734043,0.48961074,0.40025962,0.30894287,0.37063625,0.43791007,0.47900054,0.32382778
0.074667,0.00000000,0.00000000,0.00000000,0.00000000,8.43317270,52.91810537,0.00000000,0.00000000,0.00000000,-541.43507041,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.78335562,1.00000000,0.57761380,0.37583446,0.52349542,0.43400043,0.36333705,0.28980334,0.34880829,0.37097008,0.38587723,0.25940014
0.085333,0.00000000,0.00000000,0.00000000,0.00000000,8.43317270,52.91810537,0.00000000,0.00000000,0.00000000,-541.43507041,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.78825632,1.00000000,0.58425060,0.28280692,0.43537335,0.39312399,0.29023574,0.23005467,0.30370768,0.29726492,0.29858113,0.21640291
0.096000,0.00000000,0.00000000,0.00000000,0.00000000,8.43317270,52.91810537,0.00000000,0.00000000,0.00000000,-541.43507041,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.78239766,1.00000000,0.60193771,0.23057361,0.32205537,0.29065359,0.19781507,0.15293717,0.23853073,0.23588780,0.23878497,0.16879678
0.106667,0.00000000,0.00000000,0.00000000,0.00000000,8.43317270,52.91810537,0.00000000,0.00000000,0.00000000,-541.43507041,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.77374141,1.00000000,0.63154504,0.21822448,0.24831750,0.20837045,0.16142125,0.09985784,0.20818331,0.20249271,0.20755714,0.13180975
0.117333,0.00000000,0.00000000,0.00000000,0.00000000,8.43317270,52.91810537,0.00000000,0.00000000,0.00000000,-541.43507041,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.75052283,1.00000000,0.66654854,0.25636974,0.20222575,0.16565113,0.12599002,0.08022653,0.16783915,0.17363691,0.16067016,0.12254781
0.128000,0.00000000,0.00000000,0.00000000,0.00000000,8.43317270,52.91810537,0.00000000,0.00000000,0.00000000,-541.43507041,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.73433133,1.00000000,0.74244150,0.29555568,0.20482736,0.16040921,0.10870796,0.07177630,0.13016135,0.16554050,0.12752294,0.10050212
